2024/04/27 00:15:32 Count: 1, Mean: -0.068984, StdDev: 0.000000
2024/04/27 00:15:38 Count: 52, Mean: 0.786065, StdDev: 8.026548
2024/04/27 00:15:38 Count: 53, Mean: 0.832922, StdDev: 7.957642
2024/04/27 00:15:38 Count: 54, Mean: 0.733348, StdDev: 7.916873
2024/04/27 00:15:38 Count: 55, Mean: 0.721217, StdDev: 7.845078
2024/04/27 00:15:38 Count: 56, Mean: 0.809991, StdDev: 7.802543
2024/04/27 00:15:38 Count: 57, Mean: 0.856295, StdDev: 7.741555
2024/04/27 00:15:38 Count: 58, Mean: 0.990923, StdDev: 7.741543
2024/04/27 00:15:38 Count: 59, Mean: 1.094596, StdDev: 7.716157
2024/04/27 00:15:38 Count: 60, Mean: 1.346935, StdDev: 7.893263
2024/04/27 00:15:38 Count: 61, Mean: 1.349275, StdDev: 7.828318
2024/04/27 00:15:39 Count: 62, Mean: 1.363548, StdDev: 7.765730
2024/04/27 00:15:39 Count: 63, Mean: 1.214507, StdDev: 7.792723
2024/04/27 00:15:39 Count: 64, Mean: 1.402083, StdDev: 7.873647
2024/04/27 00:15:39 Count: 65, Mean: 1.244237, StdDev: 7.914236
2024/04/27 00:15:39 Count: 66, Mean: 1.265113, StdDev: 7.855854
2024/04/27 00:15:39 Count: 67, Mean: 1.223863, StdDev: 7.804206
2024/04/27 00:15:39 Count: 68, Mean: 1.232231, StdDev: 7.746913
2024/04/27 00:15:39 Count: 69, Mean: 1.234247, StdDev: 7.690589
2024/04/27 00:15:39 Count: 70, Mean: 1.185976, StdDev: 7.645979
2024/04/27 00:15:39 Count: 71, Mean: 1.061423, StdDev: 7.663129
2024/04/27 00:15:40 Count: 72, Mean: 0.940016, StdDev: 7.678180
2024/04/27 00:15:40 Count: 73, Mean: 0.937617, StdDev: 7.625436
2024/04/27 00:15:40 Count: 74, Mean: 1.126645, StdDev: 7.744025
2024/04/27 00:15:40 Count: 75, Mean: 1.052223, StdDev: 7.718820
2024/04/27 00:15:40 Count: 76, Mean: 1.116193, StdDev: 7.687857
2024/04/27 00:15:40 Count: 77, Mean: 1.098808, StdDev: 7.639277
2024/04/27 00:15:40 Count: 78, Mean: 1.082046, StdDev: 7.591574
2024/04/27 00:15:40 Count: 79, Mean: 1.099682, StdDev: 7.544981
2024/04/27 00:15:40 Count: 80, Mean: 1.207348, StdDev: 7.558500
2024/04/27 00:15:40 Count: 81, Mean: 1.104442, StdDev: 7.567877
2024/04/27 00:15:41 Count: 82, Mean: 1.088654, StdDev: 7.522932
2024/04/27 00:15:41 Count: 83, Mean: 1.017076, StdDev: 7.505516
2024/04/27 00:15:41 Count: 84, Mean: 0.778730, StdDev: 7.770281
2024/04/27 00:15:41 Count: 85, Mean: 0.878683, StdDev: 7.778570
2024/04/27 00:15:41 Count: 86, Mean: 0.818865, StdDev: 7.752854
2024/04/27 00:15:41 Count: 87, Mean: 0.781982, StdDev: 7.715753
2024/04/27 00:15:41 Count: 88, Mean: 0.650092, StdDev: 7.769794
2024/04/27 00:15:41 Count: 89, Mean: 0.675386, StdDev: 7.729663
2024/04/27 00:15:41 Count: 90, Mean: 0.662575, StdDev: 7.687550
2024/04/27 00:15:41 Count: 91, Mean: 0.654060, StdDev: 7.645621
2024/04/27 00:15:42 Count: 92, Mean: 0.694794, StdDev: 7.613878
2024/04/27 00:15:42 Count: 93, Mean: 0.667439, StdDev: 7.577376
2024/04/27 00:15:42 Count: 94, Mean: 0.796408, StdDev: 7.638892
2024/04/27 00:15:42 Count: 95, Mean: 0.872408, StdDev: 7.634224
2024/04/27 00:15:42 Count: 96, Mean: 0.909851, StdDev: 7.603122
2024/04/27 00:15:42 Count: 97, Mean: 0.854792, StdDev: 7.583043
2024/04/27 00:15:42 Count: 98, Mean: 0.691918, StdDev: 7.712910
2024/04/27 00:15:42 Count: 99, Mean: 0.606708, StdDev: 7.720080
2024/04/27 00:15:42 Count: 100, Mean: 0.618040, StdDev: 7.682210
2024/04/27 00:15:42 Count: 101, Mean: 0.617695, StdDev: 7.644086
2024/04/27 00:15:43 Count: 102, Mean: 0.703374, StdDev: 7.655104
2024/04/27 00:15:43 Count: 103, Mean: 0.734050, StdDev: 7.624150
2024/04/27 00:15:43 Count: 104, Mean: 0.752234, StdDev: 7.589651
2024/04/27 00:15:43 Count: 105, Mean: 0.718942, StdDev: 7.561050
2024/04/27 00:15:43 Count: 106, Mean: 0.690387, StdDev: 7.530986
2024/04/27 00:15:43 Count: 107, Mean: 0.774989, StdDev: 7.546151
2024/04/27 00:15:43 Count: 108, Mean: 0.898933, StdDev: 7.619769
2024/04/27 00:15:43 Count: 109, Mean: 1.029526, StdDev: 7.705201
2024/04/27 00:15:43 Count: 110, Mean: 1.063145, StdDev: 7.678124
2024/04/27 00:15:43 Count: 111, Mean: 1.105185, StdDev: 7.656166
2024/04/27 00:15:44 Count: 112, Mean: 1.105297, StdDev: 7.621910
2024/04/27 00:15:44 Count: 113, Mean: 1.214653, StdDev: 7.675858
2024/04/27 00:15:44 Count: 114, Mean: 1.152154, StdDev: 7.670942
2024/04/27 00:15:44 Count: 115, Mean: 1.068593, StdDev: 7.689452
2024/04/27 00:15:44 Count: 116, Mean: 1.083230, StdDev: 7.657845
2024/04/27 00:15:44 Count: 117, Mean: 1.048183, StdDev: 7.634387
2024/04/27 00:15:44 Count: 118, Mean: 1.169962, StdDev: 7.715249
2024/04/27 00:15:44 Count: 119, Mean: 1.314214, StdDev: 7.840936
2024/04/27 00:15:44 Count: 120, Mean: 1.299133, StdDev: 7.809930
2024/04/27 00:15:45 Count: 121, Mean: 1.297663, StdDev: 7.777607
2024/04/27 00:15:45 Count: 122, Mean: 1.261545, StdDev: 7.755848
2024/04/27 00:15:45 Count: 123, Mean: 1.329598, StdDev: 7.760743
2024/04/27 00:15:45 Count: 124, Mean: 1.330709, StdDev: 7.729396
2024/04/27 00:15:45 Count: 125, Mean: 1.298167, StdDev: 7.706940
2024/04/27 00:15:45 Count: 126, Mean: 1.309495, StdDev: 7.677341
2024/04/27 00:15:45 Count: 127, Mean: 1.282552, StdDev: 7.653034
2024/04/27 00:15:45 Count: 128, Mean: 1.357920, StdDev: 7.670251
2024/04/27 00:15:45 Count: 129, Mean: 1.350741, StdDev: 7.640896
2024/04/27 00:15:45 Count: 130, Mean: 1.462705, StdDev: 7.716951
2024/04/27 00:15:46 Count: 131, Mean: 1.399590, StdDev: 7.721049
2024/04/27 00:15:46 Count: 132, Mean: 1.402306, StdDev: 7.691810
2024/04/27 00:15:46 Count: 133, Mean: 1.422878, StdDev: 7.666483
2024/04/27 00:15:46 Count: 134, Mean: 1.399340, StdDev: 7.642645
2024/04/27 00:15:46 Count: 135, Mean: 1.324672, StdDev: 7.663188
2024/04/27 00:15:46 Count: 136, Mean: 1.334245, StdDev: 7.635773
2024/04/27 00:15:46 Count: 137, Mean: 1.270776, StdDev: 7.643774
2024/04/27 00:15:46 Count: 138, Mean: 1.195065, StdDev: 7.667412
2024/04/27 00:15:46 Count: 139, Mean: 1.234237, StdDev: 7.653628
2024/04/27 00:15:46 Count: 140, Mean: 1.219282, StdDev: 7.628282
2024/04/27 00:15:47 Count: 141, Mean: 1.294978, StdDev: 7.653768
2024/04/27 00:15:47 Count: 142, Mean: 1.303625, StdDev: 7.627461
2024/04/27 00:15:47 Count: 143, Mean: 1.363276, StdDev: 7.633911
2024/04/27 00:15:47 Count: 144, Mean: 1.408838, StdDev: 7.626845
2024/04/27 00:15:47 Count: 145, Mean: 1.349685, StdDev: 7.633575
2024/04/27 00:15:47 Count: 146, Mean: 1.396127, StdDev: 7.627916
2024/04/27 00:15:47 Count: 147, Mean: 1.421620, StdDev: 7.608164
2024/04/27 00:15:47 Count: 148, Mean: 1.437953, StdDev: 7.585003
2024/04/27 00:15:47 Count: 149, Mean: 1.404626, StdDev: 7.570372
2024/04/27 00:15:47 Count: 150, Mean: 1.434343, StdDev: 7.553810
2024/04/27 00:15:48 An anomaly has been detected! Frequency: 11.473478
2024/04/27 00:15:49 An anomaly has been detected! Frequency: 16.772872
2024/04/27 00:15:49 An anomaly has been detected! Frequency: 15.686852
2024/04/27 00:15:49 An anomaly has been detected! Frequency: 13.667607
2024/04/27 00:15:50 An anomaly has been detected! Frequency: 14.513128
2024/04/27 00:15:50 An anomaly has been detected! Frequency: 15.528837
2024/04/27 00:15:51 An anomaly has been detected! Frequency: 11.839616
2024/04/27 00:15:51 An anomaly has been detected! Frequency: -12.179068
2024/04/27 00:15:51 An anomaly has been detected! Frequency: -8.985916
2024/04/27 00:15:51 An anomaly has been detected! Frequency: -13.091535
2024/04/27 00:15:52 An anomaly has been detected! Frequency: -12.485247
2024/04/27 00:15:53 An anomaly has been detected! Frequency: 12.577816
2024/04/27 00:15:53 An anomaly has been detected! Frequency: 11.551808
2024/04/27 00:15:53 An anomaly has been detected! Frequency: 14.411726
2024/04/27 00:15:54 An anomaly has been detected! Frequency: 17.618690
2024/04/27 00:15:55 An anomaly has been detected! Frequency: 12.439818
2024/04/27 00:15:55 An anomaly has been detected! Frequency: -12.924971
2024/04/27 00:15:55 An anomaly has been detected! Frequency: 11.504921
2024/04/27 00:15:55 An anomaly has been detected! Frequency: 11.803743
2024/04/27 00:15:55 An anomaly has been detected! Frequency: 16.509764
2024/04/27 00:15:55 An anomaly has been detected! Frequency: 11.842934
2024/04/27 00:15:55 An anomaly has been detected! Frequency: -13.961582
2024/04/27 00:15:56 An anomaly has been detected! Frequency: 12.386337
2024/04/27 00:15:57 An anomaly has been detected! Frequency: 17.871314
